zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
716,17.9994,-66.60007,Ponce,PR,Puerto Rico,1,,28089,1523.3,72113,Ponce,{'72113': 100},Ponce,72113,False,0,America/Puerto_Rico
717,18.00333,-66.61331,Ponce,PR,Puerto Rico,1,,16659,3390.6,72113,Ponce,{'72113': 100},Ponce,72113,False,0,America/Puerto_Rico
718,18.2333,-65.76108,Naguabo,PR,Puerto Rico,1,,25715,227.1,72103,Naguabo,{'72103': 100},Naguabo,72103,False,0,America/Puerto_Rico
719,18.2888,-66.25336,Naranjito,PR,Puerto Rico,1,,29119,427.3,72105,Naranjito,"{'72047': 1.42, '72105': 98.1, '72135': 0.48}",Naranjito|Corozal|Toa Alta,72105|72047|72135,False,0,America/Puerto_Rico
720,18.21772,-66.42817,Orocovis,PR,Puerto Rico,1,,21276,149.8,72107,Orocovis,"{'72043': 0.52, '72107': 99.48}",Orocovis|Coamo,72107|72043,False,0,America/Puerto_Rico
723,18.03237,-66.01233,Patillas,PR,Puerto Rico,1,,17393,161.2,72109,Patillas,{'72109': 100},Patillas,72109,False,0,America/Puerto_Rico
725,18.21858,-66.04275,Caguas,PR,Puerto Rico,1,,80555,817.3,72025,Caguas,"{'72007': 1.51, '72025': 94.56, '72035': 0.43, '72061': 2.76, '72127': 0.6, '72129': 0.14}",Caguas|Guaynabo|Aguas Buenas|San Juan|Cayey|San Lorenzo,72025|72061|72007|72127|72035|72129,False,0,America/Puerto_Rico
727,18.21495,-66.07356,Caguas,PR,Puerto Rico,1,,54823,1048.6,72025,Caguas,{'72025': 100},Caguas,72025,False,0,America/Puerto_Rico
728,18.00627,-66.6612,Ponce,PR,Puerto Rico,1,,39698,1108.2,72113,Ponce,{'72113': 100},Ponce,72113,False,0,America/Puerto_Rico
729,18.331139999999998,-65.88722,Canovanas,PR,Puerto Rico,1,,51593,611.1,72029,Canóvanas,"{'72029': 87.09, '72087': 12.91}",Canóvanas|Loíza,72029|72087,False,0,America/Puerto_Rico
730,18.030910000000002,-66.61659,Ponce,PR,Puerto Rico,1,,31634,2118.2,72113,Ponce,{'72113': 100},Ponce,72113,False,0,America/Puerto_Rico
